DATE,CPIAUCNS,Inflation
2019-12-01,256.974,
2020-01-01,257.971,
2020-02-01,258.678,
2020-03-01,258.115,
2020-04-01,256.389,-0.22764948983164945
2020-05-01,256.394,-0.6113090231072427
2020-06-01,257.797,-0.3405778612792676
2020-07-01,259.101,0.38200027119694724
2020-08-01,259.918,1.3764241055583604
2020-09-01,260.28,1.5156360913281874
2020-10-01,260.388,1.005054364480551
2020-11-01,260.229,0.4353514652587265
2020-12-01,260.474,0.21391361891056615
2021-01-01,261.582,0.5002305209774072
2021-02-01,263.014,1.0084950151312722
2021-03-01,264.877,1.7861191489034756
2021-04-01,267.054,2.5261638397690245
2021-05-01,269.195,2.9103684504285354
2021-06-01,271.696,3.3009649676443154
2021-07-01,273.003,3.0678390347217643
2021-08-01,273.567,2.4388325956548274
2021-09-01,274.31,1.9001095859878525
2021-10-01,276.589,1.800909840409859
2021-11-01,277.948,1.8113354065706133
2021-12-01,278.802,1.913608000965028
2022-01-01,281.148,2.492800116656335
2022-02-01,283.716,2.576747448380101
2022-03-01,287.504,3.438053161022947
2022-04-01,289.109,3.6968888315004778
2022-05-01,292.296,3.9651713688164225
2022-06-01,296.311,4.439298453382956
2022-07-01,296.276,3.0510879848628214
2022-08-01,296.171,2.442677329311782
2022-09-01,296.808,1.543640692996151
2022-10-01,298.012,0.5740590123215261
2022-11-01,297.711,0.4843456776789212
2022-12-01,296.797,0.21136438071249763
2023-01-01,299.17,0.7958006522735372
2023-02-01,300.84,0.9489550756345277
2023-03-01,301.836,1.3855719137015443
2023-04-01,303.363,2.212286512329964
2023-05-01,304.127,1.6569174716716262
2023-06-01,305.109,1.4190267251695365
2023-07-01,305.691,1.2771836361467725
2023-08-01,307.026,1.207464324917673
2023-09-01,307.789,1.2041022336063412
2023-10-01,307.671,0.8396999105237946
2023-11-01,307.051,0.4448936998472375
2023-12-01,306.746,-0.09119748816062145
2024-01-01,308.417,0.20403588172417386
2024-02-01,310.326,0.8629347582320257
2024-03-01,312.332,1.7199097218377313
2024-04-01,313.548,2.21746982845743
2024-05-01,314.069,1.832583806988608
2024-06-01,314.175,1.2403085787204393
2024-07-01,314.54,0.7069400509714052
2024-08-01,314.796,0.3980251827471415
2024-09-01,315.301,0.39227048833216926
2024-10-01,315.664,0.47393968329751957
